Name,Link
"Mailliez, Yvonne",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=30980
"Maillol, Aristide",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=2163
"Maillol, Aristide-Joseph-Bonaventure",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=2163
"Mair, Johann Ulrich",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=24236
Mair von Landshut,https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4788
"Mair von Mairsfeld, Johann Baptist",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=12297
"Mairs, Clara Gardner",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=16580
"Maisch, Georg M.",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4789
"Maisch, Johann",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4790
"Maisel, David",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=36270
"Maitin, Samuel Calman",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4791
"Major, Thomas",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4792
"Majors, William",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=34300
"Makarevich, Igor",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=29900
"Maki, Haku",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4793
"Makimson, Loraine",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=7800
"Makov, Pavel",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=29901
"Makrenos, Chris",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=7801
"Makuc, Vladimir",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4794
"Malawicz, Irene",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=7802
"Malbeste, Georges",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4795
"Malbete, Georges",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4795
"Malbone, Edward Greene",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=2318
"Maldarelli, Louis",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=7803
"Maler, Ludwig",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4761
"Maler, Peter",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4796
"Maler, Valentin",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=2164
"Maleuvre, Pierre",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=4797
"Malevich, Kazimir Severinovich",https://web.archive.org/web/20121010195431/http://www.nga.gov/cgi-bin/tsearch?artistid=17833
"Malherbe, Francois de",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=7036
"Malich, Karel",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=26186
"Malichová, Katerina",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=24945
"Malinconico, Nicola",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=24382
"Mallarmé, Stéphane",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=22209
"Mallary, Robert",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=4798
"Mallery, Karel van",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=6380
"Mallesteste, G.",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=4799
"Mallet, Jean-Baptiste",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=4800
"Mallina, Erich",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=34392
"Maloeuvre, Pierre",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=4797
"Malone, Robert James",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=33742
Malosso,https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=2783
"Malta, Helen",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=33743
"Malton, James",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=11357
"Malton, Thomas",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=9909
"Malton, Thomas Jr.",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=9909
Man Ray,https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=5317
"Mandel, Eduard",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=4801
"Mandel, Johann August Eduard",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=4801
"Mandelman, Beatrice",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=33744
"Mander I, Karel van",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=2639
"Mandevare, Alphonse Nicolas-Michel",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=24066
"Manessier, Alfred",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=36420
"Manet, Edouard",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=1506
"Manet, Mme. Eugene",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=1733
"Manetto, Lina",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=8272
"Mangelsdorf, Hans",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=7804
"Mangiacotti, Matthew",https://web.archive.org/web/20121010195652/http://www.nga.gov/cgi-bin/tsearch?artistid=7805
"Manglard, Adrien",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=4802
"Mangold, Robert",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=6717
"Mangold, Sylvia Plimack",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=6939
"Mangravite, Peppino",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=6503
"Manley, Bryn",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=4803
"Mannelli, Giovanni Battista",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=19587
"Manni, Giannicola",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=1340
"Manning, H. D.",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=36950
"Mannino, Charles",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=7806
"Manojlín, Martin",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=24954
"Mansart, Jules Hardouin",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=11358
"Mansell, Joseph",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=4804
"Mansen, Matthias",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=6755
"Mansfield, C.",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=7807
"Manship, Paul",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=2165
"Manskirch, Franz Joseph",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=4805
"Manskirsch, Franz Joseph",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=4805
"Manson, Lucille",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=7808
"Mansourov, Paul",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=4806
"Mantegna, Andrea",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=1507
Mantegna School,https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=28554
"Mantovana, Diana",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=3974
"Mantovano, Giovanni Battista",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=3012
Mantuan 15th Century,https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=8305
Mantuan 16th Century,https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=8315
Mantuan 19th Century,https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=8337
"Manuel I, Niklaus",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=3923
"Manupelli, Raymond",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=7809
"Manzana-Pissarro, Georges",https://web.archive.org/web/20121010195354/http://www.nga.gov/cgi-bin/tsearch?artistid=28849
"Manzoni, Giacomo",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=2166
"Manzoni, Piero",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=27994
"Manzù, Giacomo",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=2166
"Mapes, Maria",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=35181
"Maples, Barbara Lucile",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=33745
"Mapplethorpe, Robert",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=6517
"Marais, Henri",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=6932
"Maralian, Arsen",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=7810
"Marantz, Irving",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=33746
"Maratta, Carlo",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=2641
"Maratti, Carlo",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=2641
"Maraz, Adriana",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=4807
"Marbain, Sheila",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=19658
"Marc, Franz",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=4808
Marcantonio School,https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=26871
"Marca-Relli, Conrad",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=6734
"Marcenay de Ghuy, Antoine de",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=5859
"Marchetti, Augusto",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=6524
"Marchetti, Ludovico",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=6423
"Marchi, Giuseppi Filippo Liberati",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=4809
"Marcks, Gerhard",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=2642
"Marclay, Christian",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=34319
"Marco, Antonio di",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=6454
Marco da Ravenna,https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=4810
Marco da Siena,https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=2683
Marco di Ruggero,https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=1989
"Marcoussis, Louis Casimir Ladislas",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=1508
"Marcucci, Giacomo",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=11559
"Marcucci, Giacomo Crulli de",https://web.archive.org/web/20121010195342/http://www.nga.gov/cgi-bin/tsearch?artistid=11559
